Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
A6-7310 with Radeon R4 Graphics,15.0,,,,,,,,
A6-7400K with Radeon R5 Series,65.0,,,,,,,,
A6-7470K with Radeon R5 Series,65.0,,,,,,,,
A6-8500P with Radeon R5 Graphics,15.0,,,,,,,,
A8 PRO-7150B with Radeon R5 Graphics,100.0,,,,,,,,
A8 PRO-7600B with Radeon R7 Graphics,65.0,,,,,,,,
A8-6410 with Radeon R5 Graphics,15.0,,,,,,,,
A8-6500 with Radeon HD 8570D,65.0,,,,,,,,
A8-6500B with Radeon HD 8570D,65.0,,,,,,,,
A8-6500T with Radeon HD 8550D,45.0,,,,,,,,
A8-6600K with Radeon HD 8570D,65.0,,,,,,,,
A8-7100 with Radeon R5 Graphics,20.0,,,,,,,,
A8-7200P with Radeon R5 Graphics,100.0,,,,,,,,
A8-7410 with Radeon R5 Graphics,15.0,,,,,,,,
A8-7600 with Radeon R7 Series,65.0,,,,,,,,
A8-7650K with Radeon R7 Graphics and Near Silent Thermal Solution,95.0,,,,,,,,
A8-7650K with Radeon R7 Series,95.0,,,,,,,,
A8-7670K with Radeon R7 Graphics and Near Silent Thermal Solution,95.0,,,,,,,,
AMD 3015Ce,6.0,,,,,,,2021-07-01,
AMD 3015e,6.0,,,,,,,2020-07-01,
AMD 3020e,6.0,,,,,,,2020-06-01,
AMD A10 Micro-6700T APU,5.0,,,,,,,2015-05-01,
AMD A10 PRO-7350B APU,19.0,,,,,,,2014-06-01,
AMD A10 PRO-7800B APU,65.0,,,,,,,2014-10-01,
AMD A10 PRO-7850B APU,95.0,,,,,,,2014-11-01,
AMD A10-4600M APU,35.0,,,,,,,2012-04-01,
AMD A10-4655M APU,25.0,,,,,,,2012-07-01,
AMD A10-4657M APU,35.0,,,,,,,2013-05-01,
AMD A10-5700 APU,65.0,,,,,,,2012-06-01,
AMD A10-5745M APU,25.0,,,,,,,2013-07-01,
AMD A10-5750M APU,35.0,,,,,,,2013-05-01,
AMD A10-5757M APU,35.0,,,,,,,2013-07-01,
AMD A10-5800B APU,100.0,,,,,,,2013-07-01,
AMD A10-5800K APU,100.0,,,,,,,2012-10-01,
AMD A10-6700 APU,65.0,,,,,,,2013-06-01,
AMD A10-6700T APU,45.0,,,,,,,2014-06-01,
AMD A10-6790K APU,100.0,,,,,,,2013-12-01,
AMD A10-6800B APU,100.0,,,,,,,2014-02-01,
AMD A10-6800K APU,100.0,,,,,,,2013-06-01,
AMD A10-7300 APU,19.0,,,,,,,2014-07-01,
AMD A10-7400P,35.0,,,,,,,2014-12-01,
AMD A10-7700K APU,95.0,,,,,,,2014-01-01,
AMD A10-7800 APU,65.0,,,,,,,2014-06-01,
AMD A10-7850K APU,95.0,,,,,,,2014-01-01,
