Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
AMD Turion II Ultra Dual-Core Mobile M600,35.0,,,,,,,2009-10-01,
AMD Turion II Ultra Dual-Core Mobile M620,35.0,,,,,,,2010-02-01,
AMD Turion II Ultra Dual-Core Mobile M640,35.0,,,,,,,2009-11-01,
AMD Turion II Ultra Dual-Core Mobile M660,35.0,,,,,,,2010-03-01,
AMD Turion Neo X2 Dual Core L625,18.0,,,,,,,2009-06-01,
AMD Turion X2 Dual Core L510,20.0,,,,,,,2010-07-01,
AMD Turion X2 Dual Core Mobile RM-70,31.0,,,,,,,2009-11-01,
AMD Turion X2 Dual Core Mobile RM-76,35.0,,,,,,,2009-09-01,
AMD Turion X2 Dual-Core Mobile RM-70,31.0,,,,,,,2009-03-01,
AMD Turion X2 Dual-Core Mobile RM-72,35.0,,,,,,,2008-11-01,
AMD Turion X2 Dual-Core Mobile RM-74,35.0,,,,,,,2009-04-01,
AMD Turion X2 Dual-Core Mobile RM-75,35.0,,,,,,,2009-05-01,
AMD Turion X2 Dual-Core Mobile RM-77,35.0,,,,,,,2009-07-01,
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,32.0,,,,,,,2009-03-01,
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,35.0,,,,,,,2009-02-01,
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,35.0,,,,,,,2009-02-01,
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,35.0,,,,,,,2009-08-01,
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,35.0,,,,,,,2009-04-01,
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,35.0,,,,,,,2009-04-01,
AMD TurionX2 Dual Core Mobile RM-70,31.0,,,,,,,2009-02-01,
AMD TurionX2 Dual Core Mobile RM-72,35.0,,,,,,,2009-04-01,
AMD TurionX2 Ultra DualCore Mobile ZM-85,35.0,,,,,,,2014-02-01,
AMD TurionX2 Ultra DualCore Mobile ZM-87,35.0,,,,,,,2022-01-01,
AMD V105,9.0,,,,,,,2010-10-01,
AMD V120,25.0,,,,,,,2010-06-01,
AMD V140,25.0,,,,,,,2010-10-01,
AMD V160,25.0,,,,,,,2011-01-01,
AMD Z-60 APU,4.5,,,,,,,2013-03-01,
Apple A12 Bionic,6.0,,,,,,,2021-02-01,
Apple A12X Bionic,15.0,,,,,,,2021-02-01,
Apple A13 Bionic,6.0,,,,,,,2021-02-01,
Apple A14 Bionic,6.0,,,,,,,2021-02-01,
Apple M1,15.1,,,,,,,2021-02-01,
Apple M1 Max,50.0,,,,,,,2021-10-01,
Apple M1 Pro,30.0,,,,,,,2021-10-01,
Apple M1 Ultra,60.0,,,,,,,2022-03-01,
Apple M2,20.0,,,,,,,2022-07-01,
Apple M2 Max,79.0,,,,,,,2022-07-01,
Apple M2 Pro,30.0,,,,,,,2022-07-01,
Apple M2 Ultra,80.0,,,,,,,2022-07-01,
Apple M3,20.0,,,,,,,2023-10-16,
Apple M3 Max,78.0,,,,,,,2023-10-16,
Apple M3 Pro,27.0,,,,,,,2023-10-16,
Apple M3 Ultra,140.0,,,,,,,2023-10-16,
Apple M4,22.0,,,,,,,2024-05-15,
Apple M4 Max,70.0,,,,,,,2024-11-08,
Apple M4 Pro,46.0,,,,,,,2024-11-08,
Athlon 5150 APU with Radeon R3 Series,25.0,,,,,,,,
Athlon 5350 APU with Radeon R3 Series,25.0,,,,,,,,
Athlon 5370 APU with Radeon R3 Series,25.0,,,,,,,,
Athlon 64 Dual Core 3800+,35.0,,,,,,,2014-05-01,
Athlon 64 Dual Core 5000+,89.0,,,,,,,2009-03-01,
Athlon 64 Dual Core 5600+,65.0,,,,,,,2010-02-01,
Athlon Dual Core 4050e,45.0,,,,,,,2009-10-01,
Athlon Dual Core 4450e,45.0,,,,,,,2009-12-01,
Athlon Dual Core 4850e,45.0,,,,,,,2009-04-01,
Athlon Gold 3150G,65.0,,,,,,,2020-07-21,
Athlon Gold 3150GE,35.0,,,,,,,2020-07-21,
Athlon Gold 7220U,15.0,,,,,,,2022-09-20,
Athlon Gold PRO 3150G,65.0,,,,,,,2020-07-21,
Athlon Gold PRO 3150GE,35.0,,,,,,,2020-07-21,
Athlon PRO 3045B,15.0,,,,,,,,
Athlon PRO 3145B,15.0,,,,,,,,
Athlon Silver 3050GE,35.0,,,,,,,2020-07-21,
Athlon Silver 7120U,15.0,,,,,,,2022-09-20,
Athlon Silver PRO 3125GE,35.0,,,,,,,2020-07-21,
Celeron Dual-Core T3000,35.0,,,,,,,2009-09-01,
Celeron Dual-Core T3100,35.0,,,,,,,2009-10-01,
Celeron Dual-Core T3300,35.0,,,,,,,2010-07-01,
Celeron Dual-Core T3500,35.0,,,,,,,2010-11-01,
Dual-Core AMD Opteron 1220 SE,103.0,,,,,,,2016-08-01,
E1 Micro-6200T with Radeon R2 Graphics,3.95,,,,,,,,
E1-2100 with Radeon HD 8210,9.0,,,,,,,,
E1-2200 with Radeon HD 8210,9.0,,,,,,,,
E1-2500 with Radeon HD 8240,15.0,,,,,,,,
E1-6010 with Radeon R2 Graphics,10.0,,,,,,,,
E1-7010 with Radeon R2 Graphics,10.0,,,,,,,,
E2-3000 with Radeon HD 8280,15.0,,,,,,,,
E2-3800 with Radeon HD 8280,15.0,,,,,,,,
E2-6110 with Radeon R2 Graphics,15.0,,,,,,,,
E2-7110 with Radeon R2 Graphics,65.0,,,,,,,,
EPYC 4124P,65.0,,,,,,,2024-05-21,
EPYC 4244P,65.0,,,,,,,2024-05-21,
EPYC 4344P,65.0,,,,,,,2024-05-21,
EPYC 4364P,105.0,,,,,,,2024-05-21,
EPYC 4464P,65.0,,,,,,,2024-05-21,
EPYC 4484PX,120.0,,,,,,,2024-05-21,
EPYC 4564P,170.0,,,,,,,2024-05-21,
EPYC 4584PX,120.0,,,,,,,2024-05-21,
EPYC 7203,120.0,,,,,,,2023-09-05,
EPYC 7203P,120.0,,,,,,,2023-09-05,
EPYC 72F3,180.0,,,,,,,2021-03-15,
EPYC 7303,130.0,,,,,,,2023-09-05,
EPYC 7303P,130.0,,,,,,,2023-09-05,
EPYC 7313,155.0,,,,,,,2021-03-15,
EPYC 7313P,155.0,,,,,,,2021-03-15,
EPYC 7343,190.0,,,,,,,2021-03-15,
EPYC 7373X,240.0,,,,,,,2022-03-22,
EPYC 73F3,240.0,,,,,,,2021-03-15,
EPYC 7413,180.0,,,,,,,2021-03-15,
EPYC 7443,200.0,,,,,,,2021-03-15,
EPYC 7443P,200.0,,,,,,,2021-03-15,
EPYC 7453,225.0,,,,,,,2021-03-15,
EPYC 7473X,240.0,,,,,,,2022-03-22,
EPYC 74F3,240.0,,,,,,,2021-03-15,
EPYC 7513,200.0,,,,,,,2021-03-15,
EPYC 7543,225.0,,,,,,,2021-03-15,
EPYC 7543P,225.0,,,,,,,2021-03-15,
EPYC 7573X,280.0,,,,,,,2022-03-22,
EPYC 75F3,280.0,,,,,,,2021-03-15,
EPYC 7643,225.0,,,,,,,2021-03-15,
EPYC 7643P,225.0,,,,,,,2023-09-05,
EPYC 7663,240.0,,,,,,,2021-03-15,
EPYC 7663P,240.0,,,,,,,2023-09-05,
EPYC 7713,225.0,,,,,,,2021-03-15,
EPYC 7713P,225.0,,,,,,,2021-03-15,
EPYC 7763,280.0,,,,,,,2021-03-15,
EPYC 7773X,280.0,,,,,,,2022-03-22,
EPYC 7F32,180.0,,,,,,,2020-04-14,
EPYC 7F52,240.0,,,,,,,2020-04-14,
EPYC 7F72,240.0,,,,,,,2020-04-14,
EPYC 8024P,90.0,,,,,,,2023-09-18,
EPYC 8024PN,80.0,,,,,,,2023-09-18,
EPYC 8124P,125.0,,,,,,,2023-09-18,
EPYC 8124PN,100.0,,,,,,,2023-09-18,
EPYC 8224P,160.0,,,,,,,2023-09-18,
EPYC 8224PN,120.0,,,,,,,2023-09-18,
EPYC 8324P,180.0,,,,,,,2023-09-18,
EPYC 8324PN,130.0,,,,,,,2023-09-18,
EPYC 8434P,200.0,,,,,,,2023-09-18,
EPYC 8434PN,155.0,,,,,,,2023-09-18,
EPYC 8534P,200.0,,,,,,,2023-09-18,
EPYC 8534PN,175.0,,,,,,,2023-09-18,
EPYC 9015,125.0,,,,,,,2024-10-10,
EPYC 9115,125.0,,,,,,,2024-10-10,
EPYC 9124,200.0,,,,,,,2022-11-10,
EPYC 9135,200.0,,,,,,,2024-10-10,
EPYC 9174F,320.0,,,,,,,2022-11-10,
EPYC 9175F,320.0,,,,,,,2024-10-10,
EPYC 9184X,320.0,,,,,,,2023-06-13,
EPYC 9224,200.0,,,,,,,2022-11-10,
EPYC 9254,200.0,,,,,,,2022-11-10,
EPYC 9255,200.0,,,,,,,2024-10-10,
EPYC 9274F,320.0,,,,,,,2022-11-10,
EPYC 9275F,320.0,,,,,,,2024-10-10,
EPYC 9334,210.0,,,,,,,2022-11-10,
EPYC 9335,210.0,,,,,,,2024-10-10,
EPYC 9354,280.0,,,,,,,2022-11-10,
EPYC 9354P,280.0,,,,,,,2022-11-10,
EPYC 9355,280.0,,,,,,,2024-10-10,
EPYC 9355P,280.0,,,,,,,2024-10-10,
EPYC 9365,300.0,,,,,,,2024-10-10,
EPYC 9374F,320.0,,,,,,,2022-11-10,
EPYC 9375F,320.0,,,,,,,2024-10-10,
EPYC 9384X,320.0,,,,,,,2023-06-13,
EPYC 9454,290.0,,,,,,,2022-11-10,
EPYC 9454P,290.0,,,,,,,2022-11-10,
EPYC 9455,300.0,,,,,,,2024-10-10,
EPYC 9455P,300.0,,,,,,,2024-10-10,
EPYC 9474F,360.0,,,,,,,2022-11-10,
EPYC 9475F,400.0,,,,,,,2024-10-10,
EPYC 9534,280.0,,,,,,,2022-11-10,
EPYC 9535,300.0,,,,,,,2024-10-10,
EPYC 9554,360.0,,,,,,,2022-11-10,
EPYC 9554P,360.0,,,,,,,2022-11-10,
EPYC 9555,360.0,,,,,,,2024-10-10,
EPYC 9555P,360.0,,,,,,,2024-10-10,
EPYC 9565,400.0,,,,,,,2024-10-10,
EPYC 9575F,400.0,,,,,,,2024-10-10,
EPYC 9634,290.0,,,,,,,2022-11-10,
EPYC 9645,320.0,,,,,,,2024-10-10,
EPYC 9654,360.0,,,,,,,2022-11-10,
EPYC 9654P,360.0,,,,,,,2022-11-10,
EPYC 9655,400.0,,,,,,,2024-10-10,
EPYC 9655P,400.0,,,,,,,2024-10-10,
EPYC 9684X,400.0,,,,,,,2023-06-13,
EPYC 9734,340.0,,,,,,,2023-06-13,
EPYC 9745,400.0,,,,,,,2024-10-10,
EPYC 9754,360.0,,,,,,,2023-06-13,
EPYC 9754S,360.0,,,,,,,2023-06-13,
EPYC 9755,500.0,,,,,,,2024-10-10,
EPYC 9825,390.0,,,,,,,2024-10-10,
EPYC 9845,390.0,,,,,,,2024-10-10,
EPYC 9965,500.0,,,,,,,2024-10-10,
EPYC Embedded 8124P,125.0,,,,,,,2023-09-18,
EPYC Embedded 8224P,160.0,,,,,,,2023-09-18,
EPYC Embedded 8324P,180.0,,,,,,,2023-09-18,
EPYC Embedded 8434P,200.0,,,,,,,2024-10-01,
EPYC Embedded 8534P,200.0,,,,,,,2024-10-01,
EPYC Embedded 8C24P,100.0,,,,,,,2023-09-18,
EPYC Embedded 9124,200.0,,,,,,,2023-03-14,
EPYC Embedded 9254,200.0,,,,,,,2023-03-14,
EPYC Embedded 9354,280.0,,,,,,,2023-03-14,
EPYC Embedded 9354P,280.0,,,,,,,2023-03-14,
EPYC Embedded 9454,290.0,,,,,,,2023-03-14,
EPYC Embedded 9454P,290.0,,,,,,,2023-03-14,
EPYC Embedded 9554,360.0,,,,,,,2023-03-14,
EPYC Embedded 9554P,360.0,,,,,,,2023-03-14,
EPYC Embedded 9654,360.0,,,,,,,2023-03-14,
EPYC Embedded 9654P,360.0,,,,,,,2023-03-14,
FX 6100,95.0,,,,,,,,
FX-4100,95.0,,,,,,,,
FX-4130,125.0,,,,,,,,
FX-4170,125.0,,,,,,,,
FX-4300,95.0,,,,,,,,
FX-4320,95.0,,,,,,,,
FX-4350,125.0,,,,,,,,
FX-6200,125.0,,,,,,,,
FX-6300,95.0,,,,,,,,
FX-6350,125.0,,,,,,,,
FX-6350 with Wraith cooler,125.0,,,,,,,,
FX-7500 with Radeon R7 Graphics,20.0,,,,,,,,
FX-7600P with Radeon R7 Graphics,35.0,,,,,,,,
FX-8120,125.0,,,,,,,,
FX-8150,125.0,,,,,,,,
FX-8300,95.0,,,,,,,,
FX-8310,95.0,,,,,,,,
FX-8320,125.0,,,,,,,,
FX-8320E,95.0,,,,,,,,
FX-8350,125.0,,,,,,,,
FX-8350 with Wraith cooler,125.0,,,,,,,,
FX-8370,125.0,,,,,,,,
FX-8370 with Wraith cooler,125.0,,,,,,,,
FX-8370E,95.0,,,,,,,,
FX-9370,220.0,,,,,,,,
FX-9590,220.0,,,,,,,,
Intel Atom 230,4.0,,,,,,,2009-03-01,
Intel Atom 330,8.0,,,,,,,2009-02-01,
Intel Atom C2308,6.0,,,,,2.0,,,1.25 GHz
Intel Atom C2316,7.0,,,,,2.0,,,1.5 GHz
Intel Atom C2338,7.0,,,,,2.0,,,1.7-2.0 GHz
Intel Atom C2350,6.0,,,,,2.0,,,1.7-2.0 GHz
Intel Atom C2358,7.0,,,,,2.0,,,1.7-2.0 GHz
Intel Atom C2508,9.5,,,,,4.0,,,1.25 GHz
Intel Atom C2516,10.0,,,,,4.0,,,1.4 GHz
Intel Atom C2518,13.0,,,,,4.0,,,1.70 GHz
Intel Atom C2530,9.0,,,,,4.0,,,1.7-2.0 GHz
Intel Atom C2538,15.0,,,,,4.0,,,2.40 GHz
Intel Atom C2550,14.0,,,,,4.0,,,2.4-2.6 GHz
Intel Atom C2558,15.0,,,,,4.0,,,2.4 GHz
Intel Atom C2718,18.0,,,,,8.0,,,2.0 GHz
Intel Atom C2730,12.0,,,,,8.0,,,1.7-2.0 GHz
Intel Atom C2738,20.0,,,,,8.0,,,2.4 GHz
Intel Atom C2750,20.0,,,,,8.0,,,2.4-2.6 GHz
Intel Atom C2758,20.0,,,,,8.0,,,2.4 GHz
Intel Atom C3308,9.5,,,,,2.0,,,1.6-2.1 GHz
Intel Atom C3336,11.0,,,,,2.0,,,1.5 GHz
Intel Atom C3338,8.5,,,,,2.0,,,1.5-2.2 GHz
Intel Atom C3338R,10.5,,,,,2.0,,,1.8-2.2 GHz
Intel Atom C3436L,10.75,,,,,4.0,,,1.3 GHz
Intel Atom C3508,11.5,,,,,4.0,,,1.6 GHz
Intel Atom C3538,15.0,,,,,4.0,,,2.1 GHz
Intel Atom C3558,16.0,,,,,4.0,,,2.2 GHz
Intel Atom C3558R,17.0,,,,,4.0,,,2.4 GHz
Intel Atom C3708,17.0,,,,,8.0,,,1.7 GHz
Intel Atom C3750,21.0,,,,,8.0,,,2.2-2.4 GHz
Intel Atom C3758,25.0,,,,,8.0,,,2.2 GHz
Intel Atom C3758R,26.0,,,,,8.0,,,2.4 GHz
Intel Atom C3808,25.0,,,,,12.0,,,2.0 GHz
Intel Atom C3830,21.5,,,,,12.0,,,
Intel Atom C3850,25.0,,,,,12.0,,,2.1-2.4 GHz
Intel Atom C3858,25.0,,,,,12.0,,,2.0 GHz
Intel Atom C3950,24.0,,,,,16.0,,,1.7-2.2 GHz
Intel Atom C3955,32.0,,,,,16.0,,,2.1-2.4 GHz
Intel Atom C3958,31.0,,,,,16.0,,,2.0 GHz
Intel Atom C5115,43.0,,,,,4.0,,,2.8 GHz
Intel Atom C5125,50.0,,,,,8.0,,,2.8 GHz
Intel Atom C5310,32.0,,,,,4.0,,,1.6 GHz
Intel Atom C5315,38.0,,,,,4.0,,,2.4 GHz
Intel Atom C5320,41.0,,,,,8.0,,,2.4 GHz
Intel Atom C5325,41.0,,,,,8.0,,,2.4 GHz
Intel Atom C5335C1,50.0,,,,,12.0,,,
Intel Atom CE4110,7.0,,,,,,,,1200 MHz
Intel Atom CE4130,7.0,,,,,,,,1200 MHz
Intel Atom CE4150,7.0,,,,,,,,1200 MHz
Intel Atom CE4215,7.0,,,,,,,,1200 MHz
Intel Atom CE4235,7.0,,,,,,,,1200 MHz
Intel Atom CE4253,7.0,,,,,,,,1200 MHz
Intel Atom CE4255,7.0,,,,,,,,1200 MHz
Intel Atom CE4257,7.0,,,,,,,,1200 MHz
Intel Atom CE4270,7.0,,,,,,,,1600 MHz
Intel Atom CE4275,7.0,,,,,,,,1600 MHz
Intel Atom CE4277,7.0,,,,,,,,1600 MHz
Intel Atom CE5315,15.0,,,,,,,,1200 MHz
Intel Atom D2500,10.0,,,,,2.0,,,1.87 GHz
Intel Atom D2550,10.0,,,,,2.0,,,1.87 GHz
Intel Atom D2560,10.0,,,,,2.0,,,2 GHz
Intel Atom D2700,10.0,,,,,2.0,,,2.13 GHz
Intel Atom D2701,10.0,,,,,,,2013-05-01,
Intel Atom D2701[3],10.0,,,,,2.0,,,2.13 GHz
Intel Atom D410,10.0,,,,,1.0,,,1.67 GHz
Intel Atom D425,10.0,,,,,1.0,,,1.83 GHz
Intel Atom D510,13.0,,,,,2.0,,,1.67 GHz
Intel Atom D525,13.0,,,,,2.0,,,1.83 GHz
Intel Atom E3805,3.0,,,,,2.0,,,1.33 GHz
Intel Atom E3815,5.0,,,,,1.0,,,1.46 GHz
Intel Atom E3825,6.0,,,,,2.0,,,1.33 GHz
Intel Atom E3826,7.0,,,,,2.0,,,1.46 GHz
Intel Atom E3827,8.0,,,,,2.0,,,1.75 GHz
Intel Atom E3845,10.0,,,,,4.0,,,1.91 GHz
Intel Atom E3940,9.5,,,,,,,2018-05-01,
Intel Atom E3950,12.0,,,,,,,2016-11-01,
Intel Atom E620,3.3,,,,,1.0,,,600 MHz
Intel Atom E620T,3.3,,,,,1.0,,,600 MHz
Intel Atom E625C,2.7,,,,,1.0,,,600 MHz
Intel Atom E640,3.6,,,,,1.0,,,1 GHz
Intel Atom E640T,3.6,,,,,1.0,,,1 GHz
Intel Atom E645C,3.6,,,,,1.0,,,1 GHz
Intel Atom E660,3.6,,,,,1.0,,,1.3 GHz
Intel Atom E660T,3.6,,,,,1.0,,,1.3 GHz
Intel Atom E665C,3.6,,,,,1.0,,,1.3 GHz
Intel Atom E680,4.5,,,,,1.0,,,1.6 GHz
Intel Atom E680T,4.5,,,,,1.0,,,1.6 GHz
Intel Atom N2600,3.5,,,,,2.0,,,1.6 GHz
Intel Atom N270,2.5,,,,,1.0,,,1.6 GHz
Intel Atom N280,2.5,,,,,1.0,,,1.67 GHz
Intel Atom N2800,6.5,,,,,2.0,,,1.87 GHz
Intel Atom N435,5.0,,,,,1.0,,,1.33 GHz
Intel Atom N450,5.5,,,,,1.0,,,1.67 GHz
Intel Atom N455,6.5,,,,,1.0,,,1.67 GHz
Intel Atom N470,6.5,,,,,1.0,,,1.83 GHz
Intel Atom N475,6.5,,,,,1.0,,,1.83 GHz
Intel Atom N550,8.5,,,,,2.0,,,1.5 GHz
Intel Atom N570,8.5,,,,,2.0,,,1.67 GHz
Intel Atom P5322,55.0,,,,,8.0,,,2.2 GHz
Intel Atom P5332,61.0,,,,,12.0,,,2.2 GHz
Intel Atom P5342,71.0,,,,,16.0,,,2.2 GHz
Intel Atom P5352,78.0,,,,,20.0,,,2.2 GHz
Intel Atom P5362,83.0,,,,,24.0,,,2.2 GHz
Intel Atom P5721,48.0,,,,,8.0,,,2.2 GHz
Intel Atom P5731,54.5,,,,,12.0,,,2.2 GHz
Intel Atom P5742,67.0,,,,,16.0,,,2.2 GHz
Intel Atom P5752,74.5,,,,,20.0,,,2.2 GHz
Intel Atom S1220,8.1,,,,,2.0,,,1.6 GHz
Intel Atom S1240,6.1,,,,,2.0,,,1.6 GHz
Intel Atom S1260,8.5,,,,,2.0,,,2.0 GHz
Intel Atom S1269,11.7,,,,,2.0,,,1.6 GHz
Intel Atom S1279,13.1,,,,,2.0,,,1.6 GHz
Intel Atom S1289,14.1,,,,,2.0,,,2.0 GHz
Intel Atom Z2420,3.0,,,,,1.0,,,1.2 GHz
Intel Atom Z2460,3.0,,,,,1.0,,,1.3-1.6 GHz
Intel Atom Z2480,4.0,,,,,1.0,,,1.3-2.0 GHz
Intel Atom Z2610,3.0,,,,,1.0,,,1.3-1.6 GHz
Intel Atom Z3735D,4.4,,,,,,,2014-06-01,
Intel Atom Z3735E,4.4,,,,,,,2014-06-01,
Intel Atom Z3735F,4.4,,,,,,,2014-08-01,
Intel Atom Z3735G,4.4,,,,,,,2014-10-01,
Intel Atom Z3736F,4.4,,,,,,,2014-10-01,
Intel Atom Z3740,4.0,,,,,,,2013-07-01,
Intel Atom Z3740D,4.4,,,,,,,2013-07-01,
Intel Atom Z3745,4.0,,,,,,,2014-02-01,
Intel Atom Z3745D,4.4,,,,,,,2014-10-01,
Intel Atom Z3770,4.0,,,,,,,2013-12-01,
Intel Atom Z3770D,4.4,,,,,,,2014-05-01,
Intel Atom Z3775,4.0,,,,,,,2014-07-01,
Intel Atom Z3775D,4.4,,,,,,,2015-01-01,
Intel Atom Z3795,4.0,,,,,,,2014-06-01,
Intel Atom Z500,0.65,,,,,1.0,,,800 MHz
Intel Atom Z510,2.0,,,,,1.0,,,1.1 GHz
Intel Atom Z510P,2.2,,,,,1.0,,,1.1 GHz
Intel Atom Z510PT,2.2,,,,,1.0,,,1.1 GHz
Intel Atom Z515,1.4,,,,,1.0,,,1.2 GHz
Intel Atom Z520,2.0,,,,,1.0,,,1.33 GHz
Intel Atom Z520PT,2.2,,,,,1.0,,,1.33 GHz
Intel Atom Z530,2.0,,,,,1.0,,,1.6 GHz
Intel Atom Z530P,2.2,,,,,1.0,,,1.6 GHz
Intel Atom Z540,2.4,,,,,1.0,,,1.87 GHz
Intel Atom Z550,2.4,,,,,1.0,,,2 GHz
Intel Atom Z560,2.5,,,,,1.0,,,2.13 GHz
Intel Atom Z600,1.3,,,,,1.0,,,1.2 GHz
Intel Atom Z605,2.2,,,,,1.0,,,1 GHz
Intel Atom Z610,1.3,,,,,1.0,,,800 MHz
Intel Atom Z612,1.3,,,,,1.0,,,900 MHz
Intel Atom Z615,2.2,,,,,1.0,,,1.6 GHz
Intel Atom Z620,1.3,,,,,1.0,,,900 MHz
Intel Atom Z625,2.2,,,,,1.0,,,1.9 GHz
Intel Atom Z650,3.0,,,,,1.0,,,1.2 GHz
Intel Atom Z670,3.0,,,,,1.0,,,1.5 GHz
Intel Atom x5-E3930,6.5,,,,,2.0,,,1.3 GHz
Intel Atom x5-E3940,9.5,,,,,4.0,,,1.6 GHz
Intel Atom x5-E8000,5.0,,,,,4.0,,,1.04 GHz
Intel Atom x5-Z8300,4.0,,,,,,,2015-08-01,
Intel Atom x5-Z8330,4.0,,,,,,,2016-08-01,
Intel Atom x5-Z8350,4.0,,,,,,,2016-05-01,
Intel Atom x5-Z8500,4.0,,,,,,,2015-08-01,
Intel Atom x5-Z8550,4.0,,,,,,,2016-07-01,
Intel Atom x6200FE,4.5,,,,,2.0,,,1.0 GHz
Intel Atom x6211E,6.0,,,,,2.0,,,1.2 GHz
Intel Atom x6212RE,6.0,,,,,2.0,,,1.2 GHz
Intel Atom x6413E,9.0,,,,,4.0,,,1.5 GHz
Intel Atom x6414RE,9.0,,,,,4.0,,,1.5 GHz
Intel Atom x6425E,12.0,,,,,4.0,,,1.8 GHz
Intel Atom x6425RE,12.0,,,,,4.0,,,1.9 GHz
Intel Atom x6427FE,12.0,,,,,4.0,,,1.9 GHz
Intel Atom x7-E3950,12.0,,,,,4.0,,,1.6 GHz
Intel Atom x7-Z8700,4.0,,,,,,,2015-04-01,
Intel Atom x7-Z8750,4.0,,,,,,,2017-03-01,
Intel Atom x7203C,9.0,,,,,,,2024-04-08,
Intel Atom x7211E,6.0,,,,,,,2023-01-03,
Intel Atom x7211RE,6.0,,,,,,,2024-04-08,
Intel Atom x7213E,10.0,,,,,,,2023-01-03,
Intel Atom x7213RE,9.0,,,,,,,2024-04-08,
Intel Atom x7405C,12.0,,,,,,,2024-04-08,
Intel Atom x7425E,12.0,,,,,,,2023-01-03,
Intel Atom x7433RE,9.0,,,,,,,2024-04-08,
Intel Atom x7809C,25.0,,,,,,,2024-04-08,
Intel Atom x7835RE,12.0,,,,,,,2024-04-08,
Intel Atom E625CT,2.7,,,,,1.0,,,600 MHz
Intel Atom E645CT,3.6,,,,,1.0,,,1 GHz
Intel Atom E665CT,3.6,,,,,1.0,,,1.3 GHz
Intel Celeron 1.00,29.0,,,,,,,,
Intel Celeron 1.10,33.0,,,,,,,,
Intel Celeron 1.5,60.0,,,,,,,,
Intel Celeron 1.66,27.0,,,,,,,,
Intel Celeron 1.7,63.5,,,,,,,,
Intel Celeron 1.8,66.1,,,,,,,,
Intel Celeron 1.83,27.0,,,,,,,,
Intel Celeron 1000A,29.5,,,,,,,,
Intel Celeron 1000M,35.0,,,,,,,2013-03-01,
Intel Celeron 1005M,35.0,,,,,,,2013-07-01,
Intel Celeron 1007U,17.0,,,,,,,2013-02-01,
Intel Celeron 1017U,17.0,,,,,,,2013-07-01,
Intel Celeron 1019Y,10.0,,,,,,,2014-05-01,
Intel Celeron 1020E,35.0,,,,,,,2014-07-01,
Intel Celeron 1020M,35.0,,,,,,,2019-12-01,
Intel Celeron 1037U,17.0,,,,,,,2013-07-01,
Intel Celeron 1047UE,17.0,,,,,,,2014-02-01,
Intel Celeron 1100A,29.5,,,,,,,,
Intel Celeron 1200,32.9,,,,,,,,
Intel Celeron 1300,33.4,,,,,,,,
Intel Celeron 1400,34.8,,,,,,,,
Intel Celeron 2.0,52.8,,,,,,,,
Intel Celeron 2.1,55.5,,,,,,,,
Intel Celeron 2.2,57.1,,,,,,,,
Intel Celeron 2.3,58.3,,,,,,,,
Intel Celeron 2.4,59.8,,,,,,,,
Intel Celeron 2.5,61.0,,,,,,,,
Intel Celeron 2.6,62.6,,,,,,,,
Intel Celeron 2.7,66.8,,,,,,,,
Intel Celeron 2.8,68.4,,,,,,,,
Intel Celeron 2000E,37.0,,,,,,,2017-01-01,
Intel Celeron 2002E,25.0,,,,,,,2018-11-01,
Intel Celeron 205,21.0,,,,,,,,
Intel Celeron 215,27.0,,,,,,,2009-11-01,
Intel Celeron 220,19.0,,,,,,,2009-03-01,
Intel Celeron 266,16.59,,,,,,,,
Intel Celeron 2950M,37.0,,,,,,,2014-04-01,
Intel Celeron 2955U,15.0,,,,,,,2013-10-01,
Intel Celeron 2957U,15.0,,,,,,,2014-04-01,
Intel Celeron 2961Y,11.5,,,,,,,2015-02-01,
Intel Celeron 2970M,37.0,,,,,,,2014-05-01,
Intel Celeron 2980U,15.0,,,,,,,2014-09-01,
Intel Celeron 2981U,15.0,,,,,,,2016-11-01,
Intel Celeron 300,18.48,,,,,,,,
Intel Celeron 300A,17.8,,,,,,,,
Intel Celeron 3205U,15.0,,,,,,,2015-04-01,
Intel Celeron 3215U,15.0,,,,,,,2016-03-01,
Intel Celeron 333,19.7,,,,,,,,
Intel Celeron 366,21.7,,,,,,,,
Intel Celeron 3755U,15.0,,,,,,,2015-01-01,
Intel Celeron 3765U,15.0,,,,,,,2016-06-01,
Intel Celeron 3855U,15.0,,,,,,,2016-03-01,
Intel Celeron 3865U,15.0,,,,,,,2017-06-01,
Intel Celeron 3867U,15.0,,,,,,,2019-05-01,
Intel Celeron 3955U,15.0,,,,,,,2016-02-01,
Intel Celeron 3965U,15.0,,,,,,,2017-12-01,
Intel Celeron 3965Y,6.0,,,,,,,2018-04-01,
Intel Celeron 400,23.7,,,,,,,,
Intel Celeron 420,35.0,,,,,,,2009-02-01,
Intel Celeron 4205U,15.0,,,,,,,2019-05-01,
Intel Celeron 430,35.0,,,,,,,2009-02-01,
